time_elapsed,eda,temp,gamified_or_no
1.0,0.9905035333333332,33.295,gamified
2.0,1.22672844,33.2918,gamified
3.0,1.4262847333333333,33.295,gamified
4.0,1.51648324,33.2898,gamified
5.0,1.5226046666666666,33.282666666666664,gamified
6.0,1.5282579200000002,33.2748,gamified
7.0,1.5365664666666667,33.26733333333333,gamified
8.0,1.54157858,33.260799999999996,gamified
9.0,1.5439098,33.260666666666665,gamified
10.0,1.5437305000000001,33.2632,gamified
11.0,1.5393414333333333,33.260666666666665,gamified
12.0,1.5386839600000002,33.2592,gamified
13.0,1.5407504666666667,33.269666666666666,gamified
16.0,1.54004204,33.2872,gamified
17.0,1.5527054,33.286,gamified
18.0,1.58164328,33.2812,gamified
19.0,1.5842987333333334,33.281333333333336,gamified
20.0,1.59324732,33.2752,gamified
21.0,1.6021873333333332,33.276666666666664,gamified
22.0,1.6161257,33.2844,gamified
23.0,1.655883633333333,33.275666666666666,gamified
24.0,1.6643814,33.266200000000005,gamified
25.0,1.6623662,33.26533333333333,gamified
26.0,1.6533405,33.2676,gamified
27.0,1.6389688,33.26233333333333,gamified
28.0,1.6398390800000002,33.263,gamified
29.0,1.6309414666666666,33.25866666666666,gamified
30.0,1.62290614,33.2524,gamified
31.0,1.6227439000000001,33.245999999999995,gamified
32.0,1.60978976,33.2456,gamified
33.0,1.5903026333333332,33.245666666666665,gamified
34.0,1.56855418,33.241,gamified
35.0,1.6012521333333332,33.239666666666665,gamified
36.0,1.58936974,33.236599999999996,gamified
37.0,1.5825619333333334,33.23533333333333,gamified
38.0,1.5758247200000002,33.232,gamified
39.0,1.5719309666666665,33.227999999999994,gamified
40.0,1.57864304,33.226,gamified
41.0,1.5865757333333332,33.223333333333336,gamified
42.0,1.58786498,33.2216,gamified
43.0,1.5839709666666666,33.225,gamified
44.0,1.57100854,33.223,gamified
45.0,1.5545109666666668,33.224666666666664,gamified
46.0,1.53043064,33.2204,gamified
47.0,1.5460566333333334,33.21633333333333,gamified
48.0,1.55361358,33.2118,gamified
49.0,1.546569,33.20633333333333,gamified
50.0,1.5376031600000002,33.2014,gamified
51.0,1.5338886333333333,33.203,gamified
52.0,1.5309172000000002,33.197,gamified
53.0,1.5203738333333334,33.19533333333333,gamified
54.0,1.50471732,33.1964,gamified
55.0,1.5032914333333334,33.19533333333333,gamified
56.0,1.5026682199999999,33.1924,gamified
57.0,1.4985524333333333,33.184000000000005,gamified
58.0,1.5074322800000002,33.1848,gamified
59.0,1.5101645333333333,33.184333333333335,gamified
60.0,1.4948801,33.1814,gamified
61.0,1.4931295666666666,33.18133333333334,gamified
62.0,1.5067530999999998,33.178399999999996,gamified
1.0,0.7054251666666667,33.07233333333333,non_gamified
2.0,0.70481888,33.0766,non_gamified
3.0,0.7069192666666667,33.06933333333333,non_gamified
4.0,0.7061251399999999,33.07,non_gamified
5.0,0.7051260333333333,33.07033333333333,non_gamified
6.0,0.7055872,33.0646,non_gamified
7.0,0.7058518,33.065666666666665,non_gamified
8.0,0.7032305799999999,33.0702,non_gamified
9.0,0.7008142666666666,33.068,non_gamified
10.0,0.7094036,33.0608,non_gamified
11.0,0.7213912666666666,33.063,non_gamified
12.0,0.72146808,33.062599999999996,non_gamified
13.0,0.7223306666666667,33.06,non_gamified
16.0,0.7280774799999999,33.056599999999996,non_gamified
17.0,0.723099,33.05133333333333,non_gamified
18.0,0.72720578,33.0456,non_gamified
19.0,0.7326189000000001,33.043,non_gamified
20.0,0.73112458,33.0426,non_gamified
21.0,0.7307493,33.04266666666667,non_gamified
22.0,0.7244662199999999,33.0524,non_gamified
23.0,0.7205641333333334,33.057,non_gamified
24.0,0.70902062,33.0574,non_gamified
25.0,0.7076716333333334,33.06033333333333,non_gamified
26.0,0.7074581799999999,33.069,non_gamified
27.0,0.7075009333333334,33.068333333333335,non_gamified
28.0,0.7106600599999999,33.0698,non_gamified
29.0,0.7098063666666667,33.06666666666667,non_gamified
30.0,0.7115565,33.0668,non_gamified
31.0,0.7140753,33.062666666666665,non_gamified
32.0,0.7132983,33.0644,non_gamified
33.0,0.7141177666666667,33.065,non_gamified
34.0,0.71360538,33.0662,non_gamified
35.0,0.7137334333333334,33.067,non_gamified
36.0,0.7146043,33.0638,non_gamified
37.0,0.7138188666666666,33.062333333333335,non_gamified
38.0,0.71450186,33.063,non_gamified
39.0,0.7276506,33.061,non_gamified
40.0,0.7280515999999999,33.0586,non_gamified
41.0,0.7199232333333334,33.05933333333333,non_gamified
42.0,0.71931714,33.0552,non_gamified
43.0,0.7170204333333333,33.05466666666667,non_gamified
44.0,0.71437352,33.056799999999996,non_gamified
45.0,0.7133488333333333,33.05966666666667,non_gamified
46.0,0.71327202,33.061,non_gamified
47.0,0.7135197333333333,33.058,non_gamified
48.0,0.71693492,33.0596,non_gamified
49.0,0.7180447666666666,33.062,non_gamified
50.0,0.71327198,33.062,non_gamified
51.0,0.7148004,33.06366666666666,non_gamified
52.0,0.71690924,33.066199999999995,non_gamified
53.0,0.7185996666666667,33.06366666666666,non_gamified
54.0,0.7166272,33.060199999999995,non_gamified
55.0,0.7153124999999999,33.059999999999995,non_gamified
56.0,0.7127851599999999,33.0672,non_gamified
57.0,0.7135194666666667,33.071000000000005,non_gamified
58.0,0.71245218,33.0666,non_gamified
59.0,0.7125376666666667,33.07166666666667,non_gamified
60.0,0.71414282,33.0698,non_gamified
61.0,0.7118545000000001,33.068666666666665,non_gamified
62.0,0.71012126,33.072,non_gamified
